,State,Year,State_Minimum_Wage,Federal_Minimum_Wage,Victim_Count
571,New Jersey,2001,5.15,5.15,767.0
572,New Mexico,2001,4.25,5.15,20.0
573,New York,2001,5.15,5.15,712.0
574,North Carolina,2001,5.15,5.15,84.0
575,North Dakota,2001,5.15,5.15,16.0
576,Ohio,2001,2.8,5.15,363.0
577,Oklahoma,2001,2.0,5.15,46.0
578,Oregon,2001,6.5,5.15,222.0
579,Pennsylvania,2001,5.15,5.15,141.0
580,Puerto Rico,2001,3.61,5.15,0.0
581,Rhode Island,2001,6.15,5.15,63.0
582,South Carolina,2001,0.0,5.15,57.0
583,South Dakota,2001,5.15,5.15,5.0
584,Tennessee,2001,0.0,5.15,190.0
585,Texas,2001,3.35,5.15,436.0
586,U.S. Virgin Islands,2001,4.3,5.15,0.0
587,Utah,2001,5.15,5.15,66.0
588,Vermont,2001,6.25,5.15,17.0
589,Virginia,2001,5.15,5.15,357.0
590,Washington,2001,6.72,5.15,278.0
591,West Virginia,2001,5.15,5.15,40.0
592,Wisconsin,2001,5.15,5.15,61.0
593,Wyoming,2001,1.6,5.15,10.0
594,Alabama,2002,0.0,5.15,2.0
595,Alaska,2002,5.65,5.15,7.0
596,Arizona,2002,0.0,5.15,241.0
597,Arkansas,2002,5.15,5.15,0.0
598,California,2002,6.75,5.15,1648.0
599,Colorado,2002,5.15,5.15,96.0
600,Connecticut,2002,6.7,5.15,140.0
601,Delaware,2002,6.15,5.15,13.0
602,District of Columbia,2002,6.15,5.15,14.0
603,Florida,2002,0.0,5.15,257.0
604,Georgia,2002,5.15,5.15,31.0
605,Guam,2002,5.15,5.15,0.0
606,Hawaii,2002,5.75,5.15,0.0
607,Idaho,2002,5.15,5.15,43.0
608,Illinois,2002,5.15,5.15,158.0
609,Indiana,2002,5.15,5.15,78.0
610,Iowa,2002,5.15,5.15,47.0
611,Kansas,2002,2.65,5.15,56.0
